FRED Graph Observations,,,
Federal Reserve Economic Data,,,
Link: https://fred.stlouisfed.org,,,
Help: https://fredhelp.stlouisfed.org,,,
Economic Research Division,,,
Federal Reserve Bank of St. Louis,,,
,,,
QBPBSTAS,"Balance Sheet: Total Assets, Millions of U.S. Dollars, Quarterly, Not Seasonally Adjusted",,
QBPBSTLKTL,"Balance Sheet: Total Liabilities and Capital: Total Liabilities, Millions of U.S. Dollars, Quarterly, Not Seasonally Adjusted",,
QBPBSTLKTEQK,"Balance Sheet: Total Liabilities and Capital: Total Equity Capital, Millions of U.S. Dollars, Quarterly, Not Seasonally Adjusted",,
,,,
Frequency: Quarterly,,,
observation_date,QBPBSTAS,QBPBSTLKTL,QBPBSTLKTEQK
1984-01-01,3374120.630,3196145.304,177713.347
1984-04-01,3479699.208,3298340.018,181105.425
1984-07-01,3520867.479,3334935.551,185597.026
1984-10-01,3653117.320,3463948.073,188773.881
1985-01-01,3666442.893,3472316.628,193733.269
1985-04-01,3758081.537,3557259.754,200443.023
1985-07-01,3853609.319,3645479.909,207708.010
1985-10-01,3993326.324,3779419.822,213503.589
1986-01-01,4022333.998,3801163.233,220756.972
1986-04-01,4106579.622,3880817.948,225337.794
1986-07-01,4158122.268,3924539.361,233146.659
1986-10-01,4327565.137,4089643.548,237520.691
1987-01-01,4301276.512,4056819.127,244452.479
1987-04-01,4353712.757,4119569.545,234138.669
1987-07-01,4407108.435,4169244.315,237859.988
1987-10-01,4502059.540,4267650.851,234405.268
1988-01-01,4540892.390,4306198.230,234692.093
1988-04-01,4611831.719,4373332.791,238495.947
1988-07-01,4692092.277,4438046.701,254042.830
1988-10-01,4736444.396,4473979.126,262464.237
1989-01-01,4676903.687,4400444.978,276458.705
1989-04-01,4718399.051,4437596.703,280802.336
1989-07-01,4702418.229,4426460.420,275957.810
1989-10-01,4726873.798,4452680.096,274193.701
1990-01-01,4661924.655,4379999.306,282026.973
1990-04-01,4678360.656,4391315.386,287051.319
1990-07-01,4683424.822,4396290.340,287132.512
1990-10-01,4648667.666,4362516.677,286150.996
1991-01-01,4560788.702,4268513.024,292275.681
1991-04-01,4538057.670,4242685.291,295372.380
1991-07-01,4566818.753,4267629.555,299189.196
1991-10-01,4543683.953,4243356.713,300327.246
1992-01-01,4535303.864,4225299.009,310004.855
1992-04-01,4516451.826,4195889.636,320562.191
1992-07-01,4530348.838,4199887.714,330461.126
1992-10-01,4536385.409,4198568.193,337817.206
1993-01-01,4523625.350,4174818.232,348807.120
1993-04-01,4573824.992,4216393.773,357431.210
1993-07-01,4637947.062,4271260.293,366686.765
1993-10-01,4707979.587,4332954.267,375025.321
1994-01-01,4840958.120,4460667.547,380290.564
1994-04-01,4892601.207,4507546.952,385054.257
1994-07-01,4930278.807,4537438.030,392840.785
1994-10-01,5020675.074,4628514.047,392161.027
1995-01-01,5131504.698,4725442.951,406061.744
1995-04-01,5189722.395,4771566.947,418155.455
