FreqDailyobsdate,SOFRINDEX,SOFR30DAYAVG,SOFR90DAYAVG,SOFR180DAYAVG
2018-04-02,1.00000000,,,
2018-04-03,1.00005000,,,
2018-04-04,1.00010084,,,
2018-04-05,1.00014917,,,
2018-04-06,1.00019779,,,
2018-04-09,1.00034365,,,
2018-04-10,1.00039228,,,
2018-04-11,1.00044091,,,
2018-04-12,1.00048982,,,
2018-04-13,1.00053790,,,
2018-04-16,1.00068131,,,
2018-04-17,1.00073051,,,
2018-04-18,1.00077944,,,
2018-04-19,1.00082809,,,
2018-04-20,1.00087618,,,
2018-04-23,1.00101964,,,
2018-04-24,1.00106691,,,
2018-04-25,1.00111446,,,
2018-04-26,1.00116201,,,
2018-04-27,1.00120985,,,
2018-04-30,1.00135335,,,
2018-05-01,1.00140259,,,
2018-05-02,1.00145155,1.741850000000000000,,
2018-05-03,1.00150023,1.740190000000000000,,
2018-05-04,1.00154863,1.737180000000000000,,
2018-05-07,1.00169219,1.734510000000000000,,
2018-05-08,1.00173977,1.733180000000000000,,
2018-05-09,1.00178763,1.732170000000000000,,
2018-05-10,1.00183549,1.731170000000000000,,
2018-05-11,1.00188364,1.730510000000000000,,
2018-05-14,1.00202807,1.729840000000000000,,
2018-05-15,1.00207678,1.730840000000000000,,
2018-05-16,1.00212661,1.733180000000000000,,
2018-05-17,1.00217532,1.732510000000000000,,
2018-05-18,1.00222376,1.731840000000000000,,
2018-05-21,1.00236825,1.731500000000000000,,
2018-05-22,1.00241531,1.730510000000000000,,
2018-05-23,1.00246125,1.728170000000000000,,
2018-05-24,1.00250775,1.727170000000000000,,
2018-05-25,1.00255621,1.728170000000000000,,
2018-05-28,#N/A,#N/A,,
2018-05-29,1.00274892,1.729830000000000000,,
2018-05-30,1.00279683,1.729830000000000000,,
2018-05-31,1.00284474,1.728160000000000000,,
2018-06-01,1.00289516,1.729830000000000000,,
2018-06-04,1.00304643,1.737170000000000000,,
2018-06-05,1.00309658,1.739840000000000000,,
2018-06-06,1.00314535,1.740840000000000000,,
2018-06-07,1.00319355,1.741510000000000000,,
2018-06-08,1.00324120,1.741180000000000000,,
2018-06-11,1.00338249,1.737500000000000000,,
2018-06-12,1.00342960,1.736170000000000000,,
2018-06-13,1.00347615,1.734170000000000000,,
2018-06-14,1.00352381,1.732830000000000000,,
2018-06-15,1.00357677,1.736500000000000000,,
2018-06-18,1.00373651,1.753520000000000000,,
2018-06-19,1.00378949,1.759200000000000000,,
2018-06-20,1.00384191,1.764210000000000000,,
2018-06-21,1.00389405,1.770220000000000000,,
2018-06-22,1.00394620,1.777560000000000000,,
2018-06-25,1.00410683,1.798260000000000000,,
2018-06-26,1.00416010,1.804270000000000000,,
2018-06-27,1.00421310,1.809950000000000000,,
2018-06-28,1.00426610,1.815620000000000000,,
2018-06-29,1.00431994,1.822630000000000000,,
2018-07-02,1.00449737,1.856680000000000000,1.778860000000000000,
2018-07-03,1.00455429,1.864360000000000000,1.781200000000000000,
2018-07-04,#N/A,#N/A,#N/A,
2018-07-05,1.00466591,1.877370000000000000,1.786890000000000000,
2018-07-06,1.00472088,1.884720000000000000,1.789350000000000000,
2018-07-09,1.00488248,1.906750000000000000,1.795370000000000000,
2018-07-10,1.00493523,1.913430000000000000,1.796940000000000000,
2018-07-11,1.00498799,1.920100000000000000,1.798390000000000000,
2018-07-12,1.00504075,1.926780000000000000,1.800170000000000000,
2018-07-13,1.00509380,1.934460000000000000,1.802180000000000000,
2018-07-16,1.00525294,1.940460000000000000,1.807650000000000000,
2018-07-17,1.00530739,1.941800000000000000,1.809770000000000000,
2018-07-18,1.00536101,1.942140000000000000,1.811670000000000000,
2018-07-19,1.00541407,1.942140000000000000,1.813560000000000000,
2018-07-20,1.00546713,1.942810000000000000,1.815580000000000000,
2018-07-23,1.00562465,1.942130000000000000,1.821150000000000000,
2018-07-24,1.00567689,1.940470000000000000,1.822940000000000000,
2018-07-25,1.00572997,1.939800000000000000,1.825060000000000000,
2018-07-26,1.00578221,1.938470000000000000,1.826730000000000000,
2018-07-27,1.00583529,1.938470000000000000,1.828750000000000000,
2018-07-30,1.00599287,1.928110000000000000,1.833540000000000000,
2018-07-31,1.00604541,1.920110000000000000,1.834880000000000000,
2018-08-01,1.00609934,1.913760000000000000,1.836890000000000000,
2018-08-02,1.00615188,1.908420000000000000,1.838450000000000000,
2018-08-03,1.00620527,1.905420000000000000,1.840580000000000000,
2018-08-06,1.00636123,1.894740000000000000,1.845370000000000000,
2018-08-07,1.00641322,1.892400000000000000,1.846940000000000000,
2018-08-08,1.00646550,1.890400000000000000,1.848610000000000000,
2018-08-09,1.00651806,1.890060000000000000,1.850280000000000000,
2018-08-10,1.00657146,1.890730000000000000,1.852300000000000000,
2018-08-13,1.00673084,1.891060000000000000,1.857760000000000000,
2018-08-14,1.00678425,1.891400000000000000,1.859100000000000000,
2018-08-15,1.00683822,1.892400000000000000,1.861110000000000000,
2018-08-16,1.00689360,1.893400000000000000,1.863790000000000000,
2018-08-17,1.00694926,1.895740000000000000,1.866690000000000000,
2018-08-20,1.00710869,1.896400000000000000,1.872830000000000000,
2018-08-21,1.00716184,1.897080000000000000,1.875620000000000000,
2018-08-22,1.00721500,1.897740000000000000,1.878190000000000000,
2018-08-23,1.00726816,1.898740000000000000,1.879980000000000000,
2018-08-24,1.00732244,1.900080000000000000,1.882320000000000000,
2018-08-27,1.00748613,1.906750000000000000,1.889690000000000000,
2018-08-28,1.00754070,1.909090000000000000,1.892260000000000000,
2018-08-29,1.00759528,1.911430000000000000,1.894820000000000000,
2018-08-30,1.00764930,1.913100000000000000,1.896160000000000000,
2018-08-31,1.00770332,1.913100000000000000,1.897510000000000000,
2018-09-03,#N/A,#N/A,#N/A,
2018-09-04,1.00792389,1.925440000000000000,1.905420000000000000,
2018-09-05,1.00797849,1.928440000000000000,1.907880000000000000,
2018-09-06,1.00803309,1.931450000000000000,1.910560000000000000,
2018-09-07,1.00808741,1.933790000000000000,1.913350000000000000,
2018-09-10,1.00825038,1.938120000000000000,1.921720000000000000,
2018-09-11,1.00830472,1.939460000000000000,1.924740000000000000,
2018-09-12,1.00835905,1.940800000000000000,1.927310000000000000,
2018-09-13,1.00841339,1.941800000000000000,1.927750000000000000,
2018-09-14,1.00846773,1.942130000000000000,1.928090000000000000,
2018-09-17,1.00863161,1.941460000000000000,1.929540000000000000,
2018-09-18,1.00868764,1.944800000000000000,1.930880000000000000,
2018-09-19,1.00874200,1.946140000000000000,1.931660000000000000,
2018-09-20,1.00879580,1.946810000000000000,1.932220000000000000,
2018-09-21,1.00884960,1.947470000000000000,1.932220000000000000,
2018-09-24,1.00901102,1.946470000000000000,1.932330000000000000,
2018-09-25,1.00906567,1.946470000000000000,1.932890000000000000,
2018-09-26,1.00911977,1.945800000000000000,1.933220000000000000,
2018-09-27,1.00917359,1.944800000000000000,1.933110000000000000,
2018-09-28,1.00923414,1.951810000000000000,1.933560000000000000,
2018-10-01,1.00942337,1.982530000000000000,1.938800000000000000,1.86432000000000000
2018-10-02,1.00948562,1.990880000000000000,1.941260000000000000,1.86701000000000000
2018-10-03,1.00954731,1.998560000000000000,1.943490000000000000,1.86953000000000000
2018-10-04,1.00960901,2.006240000000000000,1.946060000000000000,1.87206000000000000
2018-10-05,1.00967014,2.013920000000000000,1.948860000000000000,1.87447000000000000
2018-10-08,#N/A,#N/A,#N/A,#N/A
2018-10-09,1.00991246,2.042950000000000000,1.960010000000000000,1.88361000000000000
2018-10-10,1.00997278,2.049960000000000000,1.962920000000000000,1.88596000000000000
2018-10-11,1.01003310,2.056970000000000000,1.965710000000000000,1.88837000000000000
2018-10-12,1.01009398,2.064650000000000000,1.968720000000000000,1.89090000000000000
2018-10-15,1.01027748,2.088350000000000000,1.977540000000000000,1.89813000000000000
2018-10-16,1.01033950,2.097040000000000000,1.980780000000000000,1.90071000000000000
2018-10-17,1.01040068,2.104720000000000000,1.983900000000000000,1.90323000000000000
2018-10-18,1.01046187,2.110730000000000000,1.987030000000000000,1.90581000000000000
2018-10-19,1.01052334,2.119080000000000000,1.990490000000000000,1.90845000000000000
2018-10-22,1.01070776,2.146120000000000000,2.000990000000000000,1.91652000000000000
2018-10-23,1.01076896,2.154800000000000000,2.004110000000000000,1.91916000000000000
